STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2022,,72.088,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2023,,72.586,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2024,,73.098,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1992,,64.178,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1993,,64.284,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1994,,64.325,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1995,,64.249,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1996,,64.179,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1997,,63.907,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1998,,63.709,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,1999,,63.256,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2000,,62.745,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2001,,62.138,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2002,,61.521,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2003,,60.951,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CAN,Canada,DEPEND_RATIO,Dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_LT20_GE65,Less than 20 years or 65 years or over,H,Historical,2004,,60.449,,A,Normal value,0,Units,1,One
