STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2012,,33.995,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2013,,34.142,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2014,,34.428,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2015,,34.68,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2016,,34.951,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2017,,35.353,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2018,,35.71,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,DEU,Germany,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,2019,,36.123,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,ISL,Iceland,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,1992,,19.211,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,ISL,Iceland,DEPEND_RATIO_OLD,Old age dependency ratio,PT_POP_Y20T64,Percentage of population aged 20-64 years,_T,Total,Y_GE65,65 years or over,H,Historical,1993,,19.362,,A,Normal value,0,Units,1,One
