iso_code,year,hot_days
DEU,2011,2.24
DEU,2012,4.63
DEU,2013,7.54
DEU,2014,3.48
DEU,2015,13.83
DEU,2016,6.37
DEU,2017,3.65
DEU,2018,12.75
DEU,2019,11.87
DEU,2020,7.47
DEU,2021,2.77
DEU,2022,10.51
DEU,2023,6.27
ESP,1992,33.14
ESP,1993,31.03
ESP,1994,47.41
ESP,1995,33.49
ESP,1996,31.77
ESP,1997,26.19
ESP,1998,42.32
ESP,1999,40.8
ESP,2000,43.79
ESP,2001,45.16
ESP,2002,36.07
ESP,2003,54.91
ESP,2004,44.53
ESP,2005,50.21
ESP,2006,51.35
ESP,2007,34.61
ESP,2008,37.94
ESP,2009,52.19
ESP,2010,44.08
ESP,2011,47.91
ESP,2012,55.27
ESP,2013,45.86
ESP,2014,40.09
ESP,2015,54.57
ESP,2016,56.5
ESP,2017,60.03
ESP,2018,48.91
ESP,2019,51.56
ESP,2020,51.93
ESP,2021,45.07
ESP,2022,66.83
ESP,2023,57.55
FIN,1992,0.03
FIN,1993,0
FIN,1994,0.96
FIN,1995,0.04
FIN,1996,0
FIN,1997,0.34
FIN,1998,0.04
FIN,1999,0.29
FIN,2000,0.21
FIN,2001,0.03
FIN,2002,0.02
FIN,2003,0.57
FIN,2004,0
FIN,2005,0.01
FIN,2006,0.32
FIN,2007,0
FIN,2008,0
FIN,2009,0
FIN,2010,2.53
FIN,2011,0.61
FIN,2012,0.02
FIN,2013,0.11
FIN,2014,0.44
FIN,2015,0.01
FIN,2016,0
FIN,2017,0
FIN,2018,2.2
FIN,2019,0.83
FIN,2020,0.28
FIN,2021,1.69
FIN,2022,0.67
FIN,2023,0.19
FRA,1992,7.89
FRA,1993,4.08
FRA,1994,12.55
FRA,1995,10.99
FRA,1996,4.98
FRA,1997,6.54
FRA,1998,9.52
FRA,1999,5.63
FRA,2000,7.19
FRA,2001,10.15
FRA,2002,6.51
FRA,2003,26.1
FRA,2004,8.16
FRA,2005,13.96
FRA,2006,16.31
FRA,2007,4.17
FRA,2008,5.18
FRA,2009,11.33
FRA,2010,9.22
FRA,2011,7.78
FRA,2012,11.46
FRA,2013,11
FRA,2014,4.84
FRA,2015,18.48
FRA,2016,13.95
FRA,2017,15.81
FRA,2018,17.17
FRA,2019,20.91
FRA,2020,18.78
FRA,2021,7.93
FRA,2022,27.39
FRA,2023,20.13
GBR,1992,0.04
GBR,1993,0.05
GBR,1994,0.13
GBR,1995,0.65
GBR,1996,0.17
GBR,1997,0.05
GBR,1998,0.07
GBR,1999,0.12
GBR,2000,0.08
GBR,2001,0.13
GBR,2002,0.07
GBR,2003,0.84
GBR,2004,0.06
GBR,2005,0.15
GBR,2006,0.9
GBR,2007,0.07
GBR,2008,0.07
GBR,2009,0.07
GBR,2010,0.08
GBR,2011,0.09
GBR,2012,0.07
GBR,2013,0.29
GBR,2014,0.07
GBR,2015,0.26
GBR,2016,0.38
GBR,2017,0.18
GBR,2018,0.44
GBR,2019,0.96
GBR,2020,1.24
GBR,2021,0.06
GBR,2022,2.34
GBR,2023,0.24
IRL,1992,0
IRL,1993,0
IRL,1994,0
IRL,1995,0
IRL,1996,0
IRL,1997,0
IRL,1998,0
IRL,1999,0
IRL,2000,0
IRL,2001,0
IRL,2002,0
IRL,2003,0
IRL,2004,0
IRL,2005,0
IRL,2006,0
IRL,2007,0
IRL,2008,0
IRL,2009,0
IRL,2010,0
IRL,2011,0
IRL,2012,0
IRL,2013,0
IRL,2014,0
IRL,2015,0
IRL,2016,0
IRL,2017,0
IRL,2018,0.06
IRL,2019,0
IRL,2020,0
IRL,2021,0
IRL,2022,0.05
IRL,2023,0
ISL,1992,0
ISL,1993,0
ISL,1994,0
ISL,1995,0
ISL,1996,0
ISL,1997,0
ISL,1998,0
ISL,1999,0
ISL,2000,0
ISL,2001,0
ISL,2002,0
ISL,2003,0
ISL,2004,0
ISL,2005,0
ISL,2006,0
ISL,2007,0
ISL,2008,0
ISL,2009,0
ISL,2010,0
ISL,2011,0
ISL,2012,0
ISL,2013,0
ISL,2014,0
ISL,2015,0
ISL,2016,0
ISL,2017,0
ISL,2018,0
ISL,2019,0
ISL,2020,0
ISL,2021,0
ISL,2022,0
ISL,2023,0
ITA,1992,15.48
ITA,1993,19.22
ITA,1994,26.88
ITA,1995,12.62
ITA,1996,10.53
ITA,1997,13.24
ITA,1998,26.96
ITA,1999,18.58
ITA,2000,19.32
ITA,2001,21.01
ITA,2002,13.89
ITA,2003,41.89
ITA,2004,18.31
ITA,2005,17.2
ITA,2006,23.72
ITA,2007,23.74
ITA,2008,26.1
ITA,2009,25.79
ITA,2010,18.21
ITA,2011,21.37
ITA,2012,35.32
ITA,2013,20.03
ITA,2014,12.51
ITA,2015,31.52
ITA,2016,19.83
ITA,2017,33.78
ITA,2018,20.82
ITA,2019,30.47
ITA,2020,24.1
ITA,2021,30.58
ITA,2022,41.4
ITA,2023,32.54
NLD,1992,1.14
NLD,1993,0.24
NLD,1994,6.67
NLD,1995,6.27
NLD,1996,1.26
NLD,1997,3.05
NLD,1998,2.05
NLD,1999,1.12
NLD,2000,1.66
NLD,2001,2.85
NLD,2002,2.7
NLD,2003,7.24
NLD,2004,2.67
NLD,2005,2.82
NLD,2006,7.48
NLD,2007,0.53
NLD,2008,1.07
NLD,2009,1.59
NLD,2010,4.42
NLD,2011,1.3
NLD,2012,1.85
NLD,2013,4.58
NLD,2014,1.61
NLD,2015,4.09
NLD,2016,4.34
NLD,2017,2.52
NLD,2018,7.09
NLD,2019,9.31
NLD,2020,8.31
NLD,2021,1.26
NLD,2022,6.82
NLD,2023,3.76
NOR,1992,0
NOR,1993,0
NOR,1994,0.03
NOR,1995,0
NOR,1996,0
NOR,1997,0.01
NOR,1998,0
NOR,1999,0
NOR,2000,0
NOR,2001,0.02
NOR,2002,0.01
NOR,2003,0.02
NOR,2004,0.01
NOR,2005,0.06
NOR,2006,0.02
NOR,2007,0.04
NOR,2008,0.17
NOR,2009,0.08
NOR,2010,0
NOR,2011,0
NOR,2012,0
NOR,2013,0
NOR,2014,0.29
NOR,2015,0
NOR,2016,0
NOR,2017,0
NOR,2018,0.31
NOR,2019,0.31
NOR,2020,0.05
NOR,2021,0.03
NOR,2022,0.03
NOR,2023,0.01
PRT,1992,35.84
PRT,1993,29.92
PRT,1994,32.96
PRT,1995,34.82
PRT,1996,33.78
PRT,1997,26.39
PRT,1998,37.26
PRT,1999,31.94
PRT,2000,37.54
PRT,2001,37.42
PRT,2002,28.18
PRT,2003,44.36
PRT,2004,42.79
PRT,2005,50.89
PRT,2006,50.55
PRT,2007,27.83
PRT,2008,28.91
PRT,2009,43.35
PRT,2010,49.61
PRT,2011,39.06
PRT,2012,40.37
PRT,2013,47.9
PRT,2014,26.69
PRT,2015,45.32
PRT,2016,53.69
PRT,2017,55.03
PRT,2018,40.68
PRT,2019,38.52
PRT,2020,52.23
PRT,2021,35.03
PRT,2022,54.97
PRT,2023,52.53
SWE,1992,0.13
SWE,1993,0
SWE,1994,1.66
SWE,1995,0.03
SWE,1996,0
SWE,1997,0.03
SWE,1998,0
SWE,1999,0.03
SWE,2000,0.03
SWE,2001,0.1
SWE,2002,0.01
SWE,2003,0.17
SWE,2004,0.01
SWE,2005,0.07
SWE,2006,0.33
SWE,2007,0.13
SWE,2008,0.16
SWE,2009,0.04
SWE,2010,0.49
SWE,2011,0.09
SWE,2012,0
SWE,2013,0
SWE,2014,0.54
SWE,2015,0.07
SWE,2016,0
SWE,2017,0
SWE,2018,1.85
SWE,2019,0.8
SWE,2020,0.38
SWE,2021,0.39
SWE,2022,0.69
SWE,2023,0
USA,1992,38.33
USA,1993,43.27
USA,1994,48.32
USA,1995,47.53
USA,1996,44.79
USA,1997,41.16
USA,1998,51.98
USA,1999,45.98
USA,2000,52.24
USA,2001,49.31
USA,2002,55.19
USA,2003,48.68
USA,2004,41.03
USA,2005,55.46
USA,2006,56.36
USA,2007,56.82
USA,2008,48.54
USA,2009,45.17
USA,2010,56.91
USA,2011,59.97
USA,2012,63.12
USA,2013,51.43
USA,2014,48.51
USA,2015,52.44
USA,2016,57.69
USA,2017,55.2
USA,2018,60.6
USA,2019,56.07
USA,2020,61.05
USA,2021,59.33
USA,2022,62.87
USA,2023,55.71
